Time,Volume,Close,High,Low,Open
1621008000.0,19799913.532728277,50137.47,51320.57,50101.01,51211.23
1621022400.0,22280506.536377463,49845.28,50293.85,49046.97,50137.48
1621036800.0,23776977.10411776,49628.87,50655.55,49300.01,49845.29
1621051200.0,25470917.050654735,48495.58,49848.48,48433.46,49632.37
1621065600.0,27927975.394074198,48923.51,49256.4,47800.0,48494.8
1621080000.0,20632532.466985196,48982.81,49574.8,48657.81,48923.85
1621094400.0,34176503.711315714,48101.96,48990.01,46903.68,48983.28
1621108800.0,18519422.008295543,46790.72,48727.26,46584.51,48105.26
1621123200.0,18385647.142196506,48377.46,48398.89,46501.16,46791.01
1621137600.0,14788803.646951353,49378.94,49459.02,48048.2,48378.3
1621152000.0,16286186.71044366,49008.14,49777.4,48666.74,49377.87
1621166400.0,15579530.460717361,47721.45,49234.15,47652.43,49009.39
1621180800.0,48478473.952377066,45573.94,48080.79,44444.44,47720.91
1621195200.0,41482085.41845203,46434.14,46491.65,43890.0,45574.0
1621209600.0,35554192.58976646,42907.78,46613.25,42770.0,46434.93
1621224000.0,58112428.336528756,45148.02,45284.18,42166.71,42927.85
1621238400.0,21928766.22620632,45749.01,45789.46,44379.21,45138.94
1621252800.0,21815318.493436795,43371.77,45797.18,43200.0,45748.36
1621267200.0,33508601.853553668,44186.85,44365.0,42101.0,43369.3
1621281600.0,21405440.37328423,43550.75,44913.18,42503.0,44198.94
1621296000.0,20979536.479629606,44779.15,45260.1,43165.38,43547.39
1621310400.0,20069889.359592933,45159.16,45782.63,44744.93,44779.73
1621324800.0,18700500.713399302,45290.43,45636.38,44631.57,45159.24
1621339200.0,38991706.67850795,42975.54,45321.42,42601.03,45295.3
1621353600.0,24746683.381394908,43272.36,43816.27,42400.0,42982.61
1621368000.0,16380922.94031017,42849.89,43521.56,42291.13,43264.0
1621382400.0,45921173.41115333,40585.09,43591.94,40151.51,42854.18
1621396800.0,69736083.70467106,40363.86,40843.15,38558.03,40587.04
1621411200.0,56055393.70480696,38696.67,40793.83,36178.87,40362.57
1621425600.0,162090547.8255688,37230.67,39222.22,29800.0,38719.04
1621440000.0,88491253.42789182,39321.92,40389.28,36072.04,37300.0
1621454400.0,67013411.784818426,36662.15,40101.01,36609.21,39324.29
1621468800.0,63547900.72128499,38322.17,38571.42,34908.82,36669.73
1621483200.0,40527169.42455306,39974.85,40786.23,38181.83,38331.24
1621497600.0,39344007.816805504,40468.08,40667.49,38735.4,39979.57
1621512000.0,54847011.66407896,41429.17,42409.35,40085.29,40468.07
1621526400.0,61676966.05728628,40110.55,41448.33,38115.27,41434.71
1621540800.0,61603235.31114466,40548.02,41871.72,39500.64,40109.21
1621555200.0,64888472.610775225,40659.38,42214.44,40384.96,40519.4
1621569600.0,58276755.918064594,39845.35,40800.0,39213.01,40658.83
1621584000.0,64073890.49538097,41121.87,41192.14,39262.38,39847.09
1621598400.0,122812187.85957731,36736.55,41714.92,36421.05,41129.65
1621612800.0,54263605.14419128,36051.95,37795.07,35500.0,36786.09
1621627200.0,51758572.35166931,37253.6,37434.62,33503.98,36080.6
1621641600.0,29379084.377989594,36947.94,38077.72,36526.73,37279.81
1621656000.0,29175923.8761726,36286.31,37230.75,35212.13,36947.42
1621670400.0,26455245.698999405,38145.13,38800.7,36246.92,36287.64
1621684800.0,25829339.061502565,38136.02,38819.72,37100.0,38145.99
1621699200.0,16620673.642306045,37289.02,38541.64,37192.0,38166.57
