Time,Volume,Close,High,Low,Open
1609344000.0,6408147.069544653,753.0,757.57,727.82,733.95
1609358400.0,2175943.3282755483,751.92,755.54,741.2,752.95
1609372800.0,7051610.4427071735,742.95,755.35,728.0,751.91
1609387200.0,5481349.654323551,749.31,755.15,736.414,743.03
1609401600.0,4991325.275198309,745.17,752.89,736.55,749.47
1609416000.0,7234667.434170174,735.8,747.56,721.21,745.43
1609430400.0,2510665.4086253494,738.15,742.57,725.0,736.0
1609444800.0,8874050.481290152,735.93,745.0,732.19,738.8
1609459200.0,6461702.551591783,744.98,748.69,729.82,736.3
1609473600.0,2296648.912072377,737.16,746.85,734.78,744.81
1609488000.0,5502388.701555682,738.51,741.0,725.83,737.2
1609502400.0,5047053.2882457655,735.3,743.05,732.21,738.51
1609516800.0,3098623.043371514,725.53,737.42,715.3,735.3
1609531200.0,756156.9081527009,729.05,731.86,722.66,725.45
1609545600.0,4818901.819822217,730.07,733.7,715.0,729.08
1609560000.0,2917639.858295207,735.24,740.0,726.06,730.09
1609574400.0,4726457.250834441,730.0,738.0,723.01,735.25
1609588800.0,20104168.831363734,768.4,771.6,728.81,729.69
1609603200.0,11903233.657200044,784.06,786.66,764.71,768.6
1609617600.0,6987208.0963016935,774.32,784.86,752.93,784.07
1609632000.0,7586742.16238979,772.65,781.26,770.8,774.37
1609646400.0,15856226.48975346,799.58,805.38,769.11,772.42
1609660800.0,22845372.91347356,830.08,831.93,791.51,799.77
1609675200.0,49824369.76010138,918.25,921.16,826.77,829.79
1609689600.0,29971319.497710407,921.23,978.0,891.0,917.83
1609704000.0,17748040.268670633,978.0,1010.05,920.48,921.23
1609718400.0,29839346.99827705,1021.02,1025.0,955.12,978.44
1609732800.0,75828253.45365544,1044.87,1160.69,1013.96,1021.42
1609747200.0,72205900.02803467,976.26,1078.53,891.65,1044.65
1609761600.0,32016802.09730203,1039.62,1056.72,955.68,976.6
1609776000.0,15400144.875791287,1042.57,1047.39,982.74,1040.06
1609790400.0,8137587.049900251,1042.05,1049.14,993.29,1042.2
1609804800.0,48182991.24724091,1001.65,1134.38,994.9,1041.47
1609819200.0,17188960.249518387,1003.23,1030.34,975.13,1001.69
1609833600.0,7669493.060103104,1041.67,1050.0,1003.29,1003.29
1609848000.0,10996946.276264336,1051.18,1063.22,1002.42,1042.0
1609862400.0,10867254.878969956,1096.55,1107.72,1036.77,1053.03
1609876800.0,16441123.390383264,1099.48,1119.16,1075.02,1096.04
1609891200.0,9159652.314926054,1076.25,1110.0,1058.05,1099.63
1609905600.0,18268573.399556406,1106.45,1133.76,1073.22,1075.73
1609920000.0,17577293.48542494,1151.13,1160.0,1090.0,1106.47
1609934400.0,9346871.431459913,1143.57,1158.3,1121.53,1151.52
1609948800.0,15790333.013354087,1160.64,1208.35,1143.85,1143.85
1609963200.0,10425523.494219271,1208.33,1211.8,1117.0,1160.76
1609977600.0,13183004.93312106,1212.88,1222.97,1180.25,1208.78
1609992000.0,7965490.150839023,1185.81,1217.34,1181.81,1212.88
1610006400.0,10125503.514911214,1201.88,1205.23,1160.06,1186.45
1610020800.0,12993654.588332742,1248.98,1249.0,1197.94,1201.89
1610035200.0,27529762.219548307,1234.02,1287.87,1150.0,1248.98
1610049600.0,12504790.488593588,1224.69,1266.0,1201.91,1233.67
1610064000.0,32761972.682777334,1150.48,1231.57,1064.09,1224.88
1610078400.0,13424991.508016305,1207.05,1213.43,1126.16,1150.34
1610092800.0,18614386.487105634,1254.73,1270.0,1185.6,1207.71
1610107200.0,20848081.80319747,1216.86,1272.72,1176.11,1255.15
1610121600.0,8097056.108866847,1185.69,1242.22,1173.7,1217.15
1610136000.0,11504736.665572243,1216.17,1229.54,1135.88,1184.78
1610150400.0,13024171.199420022,1226.629,1234.66,1172.04,1216.34
1610164800.0,7634971.3637601435,1195.94,1226.59,1174.24,1226.27
1610179200.0,8799477.497478174,1219.96,1236.74,1184.95,1196.47
1610193600.0,6389253.3537700735,1219.99,1234.84,1207.59,1220.51
1610208000.0,5694934.495160809,1229.0,1234.63,1194.12,1219.71
1610222400.0,20171527.94924794,1275.76,1300.0,1217.03,1229.33
1610236800.0,18039660.762198597,1311.14,1339.88,1275.29,1275.8
1610251200.0,9649657.464066904,1343.85,1343.98,1306.97,1311.18
1610265600.0,21360216.021298844,1258.93,1346.66,1258.93,1343.85
1610280000.0,14009715.842507372,1303.05,1323.52,1240.0,1258.84
1610294400.0,11116045.704284713,1263.48,1324.67,1250.0,1303.33
1610308800.0,19358083.68226167,1254.65,1286.58,1170.14,1263.17
1610323200.0,39170984.89780036,1103.81,1259.74,1011.0,1254.56
1610337600.0,39986239.874443546,1071.37,1132.69,1012.0,1105.46
1610352000.0,17280138.870765872,1067.6,1148.46,1050.0,1071.73
1610366400.0,37365174.99617521,976.1,1102.64,952.23,1067.96
1610380800.0,38388239.26415062,984.74,1023.76,915.75,976.51
1610395200.0,16022510.907256031,1087.46,1093.19,960.0,984.78
1610409600.0,11905483.033687638,1087.97,1090.9,1039.11,1086.83
1610424000.0,12148809.963757684,1138.99,1149.0,1076.65,1088.19
1610438400.0,12883805.014213666,1098.45,1143.59,1067.07,1138.99
1610452800.0,15632775.519766437,1053.12,1110.71,1008.0,1098.79
1610467200.0,7637244.03922312,1083.11,1126.04,1053.34,1053.39
1610481600.0,6561692.849923224,1050.8,1087.51,1025.0,1082.55
1610496000.0,12369584.85702133,1046.16,1059.48,987.85,1050.76
1610510400.0,6914365.789201727,1076.12,1080.43,1011.2,1046.74
1610524800.0,7916911.456789684,1061.56,1095.74,1053.44,1076.19
1610539200.0,6119426.091939051,1070.84,1083.33,1045.72,1061.59
1610553600.0,5703530.010251719,1101.68,1109.09,1060.65,1071.3
1610568000.0,5958696.665803725,1129.77,1136.1,1091.75,1102.05
1610582400.0,8230296.930388298,1096.4,1147.33,1092.0,1129.89
1610596800.0,8862447.072541935,1148.47,1162.3,1087.73,1096.36
1610611200.0,9675569.390151909,1166.52,1174.07,1142.63,1147.48
1610625600.0,12621808.005484072,1211.92,1220.0,1148.0,1166.56
1610640000.0,16655965.695098298,1231.17,1246.36,1204.16,1212.87
1610654400.0,8589309.482129699,1232.31,1235.0,1163.62,1231.3
1610668800.0,11178212.56551157,1219.3,1255.91,1201.8,1231.77
1610683200.0,11661393.552197842,1239.96,1242.42,1176.31,1219.34
1610697600.0,7632875.203588967,1225.88,1245.0,1205.68,1239.58
1610712000.0,14588278.08838502,1142.34,1229.89,1128.04,1225.88
1610726400.0,29222519.417156965,1133.55,1174.39,1071.73,1142.28
1610740800.0,5599383.928943496,1168.92,1174.73,1111.94,1133.99
1610755200.0,7314413.260162901,1179.6,1197.6,1158.0,1168.46
1610769600.0,5066608.176943099,1182.36,1189.23,1152.77,1179.37
1610784000.0,18800085.09824187,1218.21,1224.91,1177.0,1182.5
1610798400.0,18616913.342443682,1274.91,1275.0,1188.55,1218.48
1610812800.0,13681980.371877095,1252.45,1290.6,1219.27,1275.0
1610827200.0,6970476.460316075,1227.99,1279.92,1200.75,1252.54
1610841600.0,8114916.844449269,1241.49,1257.57,1201.0,1228.13
1610856000.0,10200255.146101836,1182.92,1250.09,1170.46,1241.28
1610870400.0,9772629.50249307,1220.09,1227.48,1167.04,1183.07
1610884800.0,7257205.117577112,1240.71,1246.0,1191.83,1219.66
1610899200.0,4480050.739019864,1218.85,1250.11,1211.18,1240.62
1610913600.0,4742673.555670939,1232.49,1268.42,1218.28,1218.33
1610928000.0,7988280.329651825,1193.93,1246.93,1183.37,1232.44
1610942400.0,5437686.715776637,1219.77,1226.38,1188.08,1194.17
1610956800.0,4465763.025033202,1225.43,1233.33,1209.49,1219.8
1610971200.0,12725592.477908261,1240.18,1254.54,1221.23,1225.68
1610985600.0,2942679.9902293505,1227.18,1247.36,1211.83,1240.18
1611000000.0,3879005.746846467,1257.73,1260.0,1223.03,1227.32
1611014400.0,28052610.104264945,1321.27,1343.58,1252.0,1257.99
1611028800.0,17733147.99877864,1362.57,1363.64,1302.0,1321.45
1611043200.0,26074759.24642799,1429.2,1432.3,1361.08,1362.96
1611057600.0,13031886.089417858,1413.93,1437.57,1376.84,1429.11
1611072000.0,12634437.59213518,1360.34,1436.36,1335.0,1414.03
1611086400.0,9885909.29358589,1367.38,1424.75,1350.14,1359.73
1611100800.0,10831641.15841521,1343.74,1407.06,1340.42,1366.81
1611115200.0,9417314.846541153,1369.53,1378.78,1318.18,1343.92
1611129600.0,26533906.147870556,1266.46,1373.45,1251.26,1369.48
1611144000.0,19614947.367566936,1273.25,1320.1,1236.84,1266.5
1611158400.0,19534443.411504682,1344.69,1350.0,1250.88,1273.24
1611172800.0,9786575.405203838,1377.59,1388.0,1305.0,1345.37
1611187200.0,10916123.570234733,1326.86,1388.0,1308.82,1376.77
1611201600.0,9071334.838879444,1309.35,1335.25,1279.75,1326.86
1611216000.0,17612133.26645823,1236.14,1311.91,1225.0,1309.1
1611230400.0,21535523.196770076,1189.08,1259.98,1186.18,1236.63
1611244800.0,11444795.452721396,1231.17,1237.93,1161.61,1188.68
1611259200.0,15256751.71676427,1112.01,1234.28,1086.58,1230.88
